,AGE,JOB,MARITAL,EDUCATION,DEFAULT,HOUSING,LOAN,CONTACT,MONTH,DAY_OF_WEEK,DURATION,CAMPAIGN,PDAYS,PREVIOUS,POUTCOME,EMP_VAR_RATE,CONS_PRICE_IDX,CONS_CONF_IDX,EURIBOR3M,NUM_EMPLOYEES,Y,EDU_ENCODED
0,30,BLUE COLLAR,MARRIED,BASIC 9Y,NO,YES,NO,CELLULAR,5,FRI,487.0,2.0,999,0,NONEXISTENT,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0,3
1,39,SERVICES,SINGLE,HIGH SCHOOL,NO,NO,NO,TELEPHONE,5,FRI,346.0,4.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.855,5191.0,0,4
2,25,SERVICES,MARRIED,HIGH SCHOOL,NO,YES,NO,TELEPHONE,6,WED,227.0,1.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.962,5228.1,0,4
3,38,SERVICES,MARRIED,BASIC 9Y,NO,UNKNOWN,UNKNOWN,TELEPHONE,6,FRI,17.0,3.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.959,5228.1,0,3
4,47,ADMIN ,MARRIED,UNIVERSITY DEGREE,NO,YES,NO,CELLULAR,11,MON,58.0,1.0,999,0,NONEXISTENT,-0.1,93.2,-42.0,4.191,5195.8,0,5
5,32,SERVICES,SINGLE,UNIVERSITY DEGREE,NO,NO,NO,CELLULAR,9,THU,128.0,3.0,999,2,FAILURE,-1.1,94.199,-37.5,0.884,4963.6,0,5
6,32,ADMIN ,SINGLE,UNIVERSITY DEGREE,NO,YES,NO,CELLULAR,9,MON,290.0,4.0,999,0,NONEXISTENT,-1.1,94.199,-37.5,0.879,4963.6,0,5
7,41,ENTREPRENEURS,MARRIED,UNIVERSITY DEGREE,UNKNOWN,YES,NO,CELLULAR,11,MON,44.0,2.0,999,0,NONEXISTENT,-0.1,93.2,-42.0,4.191,5195.8,0,5
8,31,SERVICES,DIVORCED,PROFESSIONAL COURSE,NO,NO,NO,CELLULAR,11,TUE,68.0,1.0,999,1,FAILURE,-0.1,93.2,-42.0,4.1530000000000005,5195.8,0,6
9,35,BLUE COLLAR,MARRIED,BASIC 9Y,UNKNOWN,NO,NO,TELEPHONE,5,THU,170.0,1.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.855,5191.0,0,3
10,25,SERVICES,SINGLE,BASIC 6Y,UNKNOWN,YES,NO,CELLULAR,7,THU,301.0,1.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.958,5228.1,0,2
11,36,SELF EMPLOYED,SINGLE,BASIC 4Y,NO,NO,NO,CELLULAR,7,THU,148.0,1.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.968,5228.1,0,1
12,36,ADMIN ,MARRIED,HIGH SCHOOL,NO,NO,NO,TELEPHONE,5,WED,97.0,2.0,999,0,NONEXISTENT,1.1,93.994,-41.8,4.859,5191.0,0,4
13,47,BLUE COLLAR,MARRIED,BASIC 4Y,NO,YES,NO,TELEPHONE,6,THU,211.0,2.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.958,5228.1,0,1
14,29,ADMIN ,SINGLE,HIGH SCHOOL,NO,NO,NO,CELLULAR,5,FRI,553.0,2.0,999,0,NONEXISTENT,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0,4
15,27,SERVICES,SINGLE,UNIVERSITY DEGREE,NO,NO,NO,CELLULAR,7,WED,698.0,2.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.963,5228.1,0,5
16,44,ADMIN ,DIVORCED,UNIVERSITY DEGREE,NO,NO,NO,CELLULAR,7,WED,191.0,6.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.957,5228.1,0,5
17,46,ADMIN ,DIVORCED,UNIVERSITY DEGREE,NO,YES,NO,TELEPHONE,7,MON,59.0,4.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.962,5228.1,0,5
18,45,ENTREPRENEURS,MARRIED,UNIVERSITY DEGREE,UNKNOWN,YES,YES,CELLULAR,8,MON,38.0,2.0,999,0,NONEXISTENT,1.4,93.444,-36.1,4.857,5228.1,0,5
19,50,BLUE COLLAR,MARRIED,BASIC 4Y,NO,NO,YES,CELLULAR,7,TUE,849.0,1.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.961,5228.1,1,1
20,55,SERVICES,MARRIED,BASIC 6Y,UNKNOWN,YES,NO,CELLULAR,7,TUE,326.0,6.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.962,5228.1,0,2
21,39,TECHNICIAN,DIVORCED,HIGH SCHOOL,NO,NO,NO,CELLULAR,3,MON,222.0,1.0,12,2,SUCCESS,-1.8,93.369,-34.8,0.639,5008.7,1,4
22,29,TECHNICIAN,SINGLE,UNIVERSITY DEGREE,NO,YES,YES,CELLULAR,8,WED,626.0,3.0,999,0,NONEXISTENT,1.4,93.444,-36.1,4.967,5228.1,0,5
23,40,MANAGEMENT,MARRIED,HIGH SCHOOL,NO,NO,YES,CELLULAR,8,WED,119.0,1.0,999,0,NONEXISTENT,1.4,93.444,-36.1,4.965,5228.1,0,4
24,44,TECHNICIAN,MARRIED,PROFESSIONAL COURSE,UNKNOWN,YES,NO,TELEPHONE,5,FRI,388.0,7.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.864,5191.0,0,6
25,38,TECHNICIAN,MARRIED,PROFESSIONAL COURSE,NO,YES,NO,CELLULAR,8,MON,479.0,1.0,999,0,NONEXISTENT,1.4,93.444,-36.1,4.965,5228.1,1,6
26,36,TECHNICIAN,DIVORCED,PROFESSIONAL COURSE,NO,NO,NO,TELEPHONE,5,WED,446.0,1.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.856,5191.0,0,6
27,28,BLUE COLLAR,MARRIED,BASIC 6Y,UNKNOWN,UNKNOWN,NO,CELLULAR,5,MON,68.0,2.0,999,1,FAILURE,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,0,2
28,47,ADMIN ,SINGLE,UNKNOWN,UNKNOWN,NO,NO,TELEPHONE,5,THU,127.0,1.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.86,5191.0,0,-1
29,34,ADMIN ,MARRIED,UNIVERSITY DEGREE,NO,NO,NO,CELLULAR,8,TUE,109.0,1.0,999,0,NONEXISTENT,1.4,93.444,-36.1,4.963,5228.1,0,5
